Scenario,Signal,FeatureMap,RMSE
scenario_one,bluetooth,rxrz,1.1317624
scenario_three,wifi,z,1.1715977
scenario_three,wifi,rxrz,1.2220114
scenario_one,wifi,pauli,1.2263131
scenario_one,wifi,zz,1.3330767
scenario_two,zigbee,zz,1.4086986
scenario_three,wifi,pauli,1.4355439
scenario_two,wifi,rxrz,1.4565301
scenario_one,zigbee,rxrz,1.4762
scenario_three,bluetooth,rxrz,1.4863099
scenario_one,bluetooth,pauli,1.5396177
scenario_three,zigbee,rxrz,1.5876375
scenario_one,zigbee,z,1.595997
scenario_one,bluetooth,zz,1.5992792
scenario_three,bluetooth,z,1.6380923
scenario_one,bluetooth,z,1.6796808
scenario_one,wifi,z,1.6805745
scenario_two,wifi,z,1.7100718
scenario_one,zigbee,pauli,1.7109375
scenario_three,zigbee,zz,1.7171055
scenario_three,bluetooth,pauli,1.7225438
scenario_one,wifi,rxrz,1.7430543
scenario_three,bluetooth,zz,1.7718511
scenario_three,wifi,zz,1.8603756
scenario_one,zigbee,zz,1.8882341
scenario_two,zigbee,pauli,1.8978919
scenario_three,zigbee,z,1.9692852
scenario_two,wifi,zz,2.1960273
scenario_two,zigbee,rxrz,2.2580001
scenario_three,zigbee,pauli,2.4216194
scenario_two,zigbee,z,2.9453669
scenario_two,bluetooth,zz,3.1846373
scenario_two,bluetooth,z,3.8018126
scenario_two,bluetooth,pauli,4.625287
scenario_two,wifi,pauli,4.9809365
scenario_two,bluetooth,rxrz,6.632518
